Comments,PublishedAt,Author,Like_Counts,Reply_Comments
❤,2024-06-02T05:13:03Z,@nammasamayal6372,0,0
"Wowwwww wowwww wowwwww  ❤
Couple song is wowwwwwwwww  ❤
Lyrics and voice makes magic ✨  ❤",2024-06-02T04:18:38Z,@kash2026,0,0
Super super 🎉🎉🎉,2024-06-02T03:33:30Z,@penuballisuhasini1583,0,0
DSP at his best melody once again ..with his signature drums beats,2024-06-02T03:13:11Z,@somasundaram5374,1,0
https://youtube.com/shorts/x0FfYzuuLvE?si=AZ39wvvNcMlM8S0G,2024-06-02T02:38:11Z,@MirrorTattoosThuraiyur,0,0
https://youtube.com/shorts/x0FfYzuuLvE?si=AZ39wvvNcMlM8S0G,2024-06-02T02:38:00Z,@MirrorTattoosThuraiyur,0,0
https://youtube.com/shorts/x0FfYzuuLvE?si=AZ39wvvNcMlM8S0G,2024-06-02T02:37:46Z,@MirrorTattoosThuraiyur,0,0
The storytelling in this music video is compelling. It feels like I'm watching a beautiful story unfold,2024-06-02T01:31:37Z,@MysticRhythms-zc2pm,1,0
Allu arjun❤❤ attitude❤❤,2024-06-02T01:16:10Z,@veeramani8419,0,0
Eagerly waiting 💝for Pushpa 2👑 🔥🔥marana Waiting ❤❤,2024-06-01T20:16:05Z,@hariniharini6210,0,0
మళయాలం లో కూడా అల్లు అర్జున్ కి ఇంత కెజ్ ఉంధా❤,2024-06-01T20:15:00Z,@gaali_reeels_,0,0
Thanks for remembering vijaykanth sir ❤ remix of mukuthi Muthu alagu of vijaykanth n sotta sotta female version tajmahal song ❤,2024-06-01T18:18:01Z,@rubinkmr1010,0,0
"Shreya ghoshal pan inda top singer my favourite 
❤❤❤",2024-06-01T17:59:12Z,@user-bf1ml5of9v,3,0
#tvk,2024-06-01T17:51:50Z,@Rajan_69,0,0
"Lyrics... Yaaradhu commentsla podunga
Plz",2024-06-01T17:45:45Z,@RithikaDevaraj,0,1
Indha song Tajmahal chotu chotu nanayithu tajmahal song madhiri irku,2024-06-01T17:22:46Z,@shobhiyathirupathi4405,0,4
EGA da rajalakshmi voice 😢😢😢😢😢😢😢,2024-06-01T17:19:50Z,@AK-bd5ge,0,0
What a language tamil .... Sweet drop in ear ❤❤❤,2024-06-01T17:19:26Z,@AbdulSirajee-mc4fc,1,0
sadhguru dance and costume too😂❤,2024-06-01T16:21:43Z,@anand-dv2xu,1,0
❤❤❤❤❤❤❤❤,2024-06-01T15:19:14Z,@abhinavdasgaming4462,0,0
💥💥💥💥💯💯💯💯💯,2024-06-01T15:14:18Z,@Miari-sf8iy,0,0
Pushpa 2 koi nai dekha,2024-06-01T14:10:02Z,@gcoodoykstdgdlydocoycoflydyd,0,0
Ennada step idhu😂,2024-06-01T13:21:48Z,@Arthi_Shanmugavel,0,0
Enna ellavu da ethu 😅😅😅😂😂😂,2024-06-01T12:55:18Z,@gokul2596,1,0
1:33 imdeepurajan 🎉 ig🧚🪄🧚✨✨✨💜,2024-06-01T11:47:50Z,@DjPhilips-wp6lg,0,0
Chotta Chotta Nanaiyuthu Tajmahal 🎼🎼,2024-06-01T11:38:59Z,@vigneshspr9379,2,0
music and sherya goshal voice  awesome,2024-06-01T11:35:50Z,@sabarir6224,2,0
I am tamilan but I am big fan for allu arjun 🎉🎉🥳🥳,2024-06-01T11:34:46Z,@kowsalyadevikowsalyadevi1116,1,0
who are all missing samantha,2024-06-01T10:53:12Z,@r.rohithkumar1987,1,0
Enakku mattum thaan mokkaiya iruka😅,2024-06-01T10:26:49Z,@ilav1234,1,0
